time,latitude,longitude,mag
1980-04-16T20:00:00.210Z,37.1011667,-116.0305,5.13
1980-04-26T17:00:00.550Z,37.2483333,-116.4223333,5.05
1980-04-28T13:55:34.000Z,41.865,-118.909,4.3
1980-04-28T17:07:10.100Z,41.846,-118.931,3.8
1980-04-29T13:50:23.900Z,40.5266667,-123.535,4
1980-04-30T07:23:58.570Z,38.616,-117.9736667,3.79
1980-05-02T18:46:30.350Z,37.056,-116.019,4.27
1980-05-03T00:17:38.100Z,41.939,-118.842,4.5
1980-05-08T18:00:51.810Z,37.6445,-118.8501667,3.5
1980-05-14T08:02:30.570Z,37.5676667,-118.8241667,4
1980-05-14T19:48:59.420Z,37.622,-118.9558333,3.7
1980-05-17T00:01:13.660Z,37.6225,-118.8088333,4.3
1980-05-18T12:47:29.500Z,37.6245,-118.8663333,4
1980-05-18T18:40:52.990Z,37.606,-118.87,3.71
1980-05-19T22:19:08.210Z,37.6348333,-118.8585,3.5
1980-05-20T00:50:32.780Z,35.0606667,-119.0381667,3.86
1980-05-22T12:59:58.530Z,37.0031,-116.0314,3.56
1980-05-25T04:49:34.490Z,37.6413333,-118.8508333,3.9
1980-05-25T16:33:44.000Z,37.5903333,-118.831,6.1
1980-05-25T16:36:49.230Z,37.6,-118.817,4.3
1980-05-25T16:37:00.960Z,37.6,-118.817,4
1980-05-25T16:37:21.310Z,37.6,-118.817,4
1980-05-25T16:37:56.860Z,37.6,-118.817,4
1980-05-25T16:38:46.760Z,37.6,-118.817,4.2
1980-05-25T16:39:41.600Z,37.7165,-118.3253333,4.08
1980-05-25T16:41:55.230Z,37.773,-117.8305,4.16
1980-05-25T16:45:24.870Z,37.8678333,-118.392,4.13
1980-05-25T16:49:27.160Z,37.6768333,-118.8996667,6
1980-05-25T16:52:28.890Z,37.7638333,-117.924,4.6
1980-05-25T16:52:29.160Z,37.621,-118.726,4.6
1980-05-25T16:53:47.340Z,37.6,-118.817,3.87
1980-05-25T16:54:05.840Z,37.6,-118.817,3.72
1980-05-25T16:54:34.040Z,37.6,-118.817,3.5
1980-05-25T16:56:11.230Z,37.8888333,-118.5596667,4.2
1980-05-25T16:59:47.690Z,37.8113333,-118.5711667,4.05
1980-05-25T16:59:47.890Z,37.5955,-118.973,3.94
1980-05-25T17:03:28.670Z,37.6953333,-118.7565,3.8
1980-05-25T17:06:22.990Z,37.5925,-118.8621667,4.6
1980-05-25T17:08:29.090Z,37.4705,-119.0506667,4.53
1980-05-25T17:11:40.350Z,37.1395,-118.5576667,3.76
