time,latitude,longitude,mag
1980-11-02T10:00:49.300Z,35.472,-97.777,3
1981-07-11T21:09:22.540Z,34.884,-97.677,3.5
1984-01-06T17:14:49.800Z,36.16,-95.58,2.6
1984-03-03T11:42:02.400Z,35.51,-96.3,2.6
1986-12-21T17:32:58.100Z,35.142,-96.676,2.8
1987-01-24T16:08:17.000Z,35.828,-98.097,3.1
1987-12-08T01:42:40.300Z,36.055,-98.024,3.7
1987-12-08T01:45:47.500Z,36.056,-98.03,2.5
1989-07-20T02:49:48.550Z,36.405,-98.981,2.7
1989-07-20T06:07:50.420Z,36.434,-98.876,3.1
1990-02-07T12:02:14.100Z,35.629,-98.827,2.5
1991-01-24T05:00:26.900Z,36.378,-97.3,3
1992-06-30T01:25:49.300Z,35.261,-96.421,2.7
1992-08-10T20:03:04.200Z,34.982,-97.453,2.9
1992-10-05T04:44:08.600Z,36.402,-97.503,2.8
1993-01-14T17:06:10.450Z,36.595,-98.275,3.1
1993-03-11T01:15:01.500Z,35.21,-95.93,2.7
1994-04-29T03:28:58.680Z,36.25,-98.09,3
1995-03-23T11:10:12.310Z,36.9,-99.6,2.8
1995-04-05T05:31:16.230Z,35.2,-99.028,3
1995-09-15T00:31:33.260Z,36.87,-98.69,4.1
1995-12-01T14:37:40.440Z,35.061,-99.337,2.9
1996-12-19T16:29:57.720Z,35.081,-97.647,2.5
1998-10-30T17:41:22.200Z,36.8,-97.6,3.5
1999-10-25T23:19:58.370Z,36.846,-99.659,3
2000-10-08T10:16:23.780Z,35.393,-97.98,2.6
2004-09-10T06:39:21.000Z,35.369,-98.048,2.8
2004-11-22T23:42:13.450Z,34.864,-97.672,3
2005-05-16T22:29:46.840Z,35.25,-97.608,2.8
2006-03-15T08:30:25.860Z,35.091,-96.3,3
2006-12-21T02:41:14.650Z,35.464,-97.407,2.6
2006-12-21T06:14:06.710Z,35.464,-97.407,2.7
2007-02-12T18:32:33.660Z,35.441,-97.459,2.8
2007-02-13T00:15:48.890Z,35.459,-97.482,2.8
2007-05-27T21:03:22.110Z,35.149,-95.976,3.2
2007-09-27T15:21:02.060Z,35.471,-100.108,3
2007-12-16T15:02:29.650Z,34.852,-96.048,2.6
2008-06-05T06:12:22.150Z,35.457,-97.569,2.5
2008-06-09T02:16:02.190Z,35.81,-96.985,2.5
2008-06-09T22:59:47.120Z,35.346,-96.767,3.1
2008-06-22T02:18:04.310Z,35.82,-97.07,2.9
2008-10-21T19:05:15.150Z,35.677,-97.131,2.7
2008-10-28T09:06:46.800Z,35.454,-96.954,2.8
2008-10-30T16:25:00.670Z,35.443,-97.118,3.1
2008-12-02T02:49:37.820Z,35.573,-97.568,2.7
2009-01-28T11:19:09.470Z,35.163,-97.871,3.4
2009-02-22T09:43:06.750Z,36.369,-98.087,3.2
2009-03-08T13:06:39.940Z,35.446,-97.456,3.4
2009-03-17T17:24:52.000Z,35.446,-97.456,2.7
2009-03-17T17:41:37.000Z,35.446,-97.456,2.5
2009-06-14T21:31:09.020Z,35.659,-96.85,3.4
2009-06-16T16:32:46.000Z,35.89,-96.873,2.8
2009-06-26T21:23:13.750Z,36.361,-97.467,3.7
2009-07-01T17:14:48.240Z,35.547,-97.169,3.4
2009-07-22T02:25:59.800Z,35.742,-96.944,3.3
2009-08-27T08:22:14.530Z,34.942,-96.618,3.4
2009-08-27T12:58:25.000Z,35.566,-97.29,2.5
2009-08-27T15:17:43.070Z,35.572,-97.305,2.8
2009-08-27T15:31:24.000Z,35.566,-97.29,2.5
2009-08-27T17:13:47.000Z,35.566,-97.29,2.6
2009-08-27T17:45:10.000Z,35.566,-97.29,2.7
2009-08-27T18:31:59.730Z,35.651,-97.363,2.7
2009-08-28T02:09:06.000Z,35.565,-97.29,3.5
2009-10-23T03:56:29.730Z,35.804,-97.029,3
2009-11-02T18:27:05.860Z,35.432,-96.55,2.7
2009-11-14T11:13:01.340Z,35.494,-97.204,3.1
2009-11-16T11:12:37.140Z,35.482,-97.228,3
2009-11-23T05:47:12.870Z,35.495,-97.249,2.6
2009-11-29T01:36:58.630Z,35.563,-97.275,3
2009-12-07T17:44:25.180Z,35.556,-97.25,3.5
2009-12-11T14:00:17.830Z,35.588,-97.326,2.8
2009-12-12T11:34:05.450Z,35.556,-97.316,3.1
2009-12-13T08:38:25.880Z,35.587,-97.285,3.6
2009-12-18T02:25:39.220Z,35.555,-97.282,2.8
2009-12-20T05:05:21.340Z,35.554,-97.267,3.1
