time,latitude,longitude,mag
1981-08-01T01:58:44.110Z,38.308,-97.863,2.8
1983-03-11T16:50:45.310Z,36.791,-100.196,2.7
1984-05-27T23:30:19.300Z,39.22,-102.155,3.6
1986-06-02T04:04:05.200Z,39.344,-99.781,3
1986-10-20T04:32:49.000Z,37.918,-101.372,3
1988-04-14T09:39:31.470Z,39.093,-99.155,3.6
1988-06-18T15:34:45.200Z,39.158,-99.113,2.7
1988-09-15T06:24:01.500Z,39.111,-99.187,2.6
1989-01-27T00:56:48.420Z,39.115,-99.584,2.6
1989-06-08T18:18:43.370Z,39.165,-99.477,4
1989-06-16T14:53:53.120Z,39.143,-99.457,3.8
1989-07-06T01:12:31.080Z,39.013,-99.564,2.7
1989-07-06T10:38:25.560Z,38.772,-102.635,2.8
1989-07-13T18:35:22.900Z,39.168,-99.472,3.4
1991-05-30T22:07:44.000Z,39.2,-99.4,3.5
1992-04-02T09:41:24.000Z,39.1,-99.5,2.7
1992-07-15T02:56:40.750Z,38.76,-99.549,3.3
1995-03-23T11:10:12.310Z,36.9,-99.6,2.8
1995-09-15T00:31:33.260Z,36.87,-98.69,4.1
1997-12-11T11:34:57.000Z,37.101,-98.48,2.7
1998-10-30T17:41:22.200Z,36.8,-97.6,3.5
1999-01-07T05:16:26.960Z,38.674,-99.378,3
1999-05-13T14:18:22.750Z,39.1,-94.7,3
1999-10-25T23:19:58.370Z,36.846,-99.659,3
2000-02-04T01:36:26.880Z,39.092,-99.417,2.8
2001-07-24T14:02:35.000Z,37.7,-97,3
2001-11-13T01:56:13.130Z,39.996,-100.208,3.3
2002-04-14T03:35:02.130Z,39.939,-100.32,2.8
2002-11-01T11:08:56.280Z,39.119,-99.089,3
2002-11-01T14:19:56.160Z,39.077,-99.101,2.8
2002-12-11T14:25:23.540Z,39.36,-99.403,2.8
2003-01-10T10:29:22.460Z,38.256,-102.622,2.9
2003-02-14T00:45:59.890Z,40.237,-100.022,2.9
2003-04-01T13:09:49.610Z,39.244,-99.487,2.8
2003-04-17T17:31:59.070Z,39.255,-99.482,3
2007-03-23T08:15:49.840Z,39.464,-95.341,3.1
2008-01-01T08:44:16.990Z,37.027,-97.326,2.7
2009-08-17T00:22:10.890Z,38.47,-102.684,3.9
2010-07-14T13:24:06.000Z,36.851,-98.222,2.7
2010-09-10T08:37:17.480Z,39.868,-99.977,2.6
2013-01-09T18:50:08.350Z,39.743,-97.95,3.3
2013-06-30T11:55:04.210Z,36.673,-97.679,2.6
2013-07-01T08:19:24.000Z,36.673,-97.668,3.2
2013-07-15T16:15:18.740Z,36.697,-98.186,2.8
2013-07-27T23:18:32.090Z,36.921,-98.038,2.9
2013-07-31T15:03:17.260Z,36.85,-97.738,2.9
2013-08-04T11:44:34.200Z,36.9688,-97.8342,2.6
2013-08-08T22:41:41.000Z,36.8928,-97.9831,2.8
2013-08-08T22:46:29.350Z,36.863,-97.994,3.2
2013-08-08T23:09:35.590Z,36.879,-97.974,2.9
2013-08-13T16:19:42.820Z,36.708,-97.685,2.6
2013-09-14T18:52:53.840Z,37.0533,-97.934,2.9
2013-09-19T00:54:52.520Z,36.7327,-98.0454,2.7
2013-09-20T05:57:59.200Z,36.704,-98.026,2.7
2013-10-08T10:48:21.300Z,36.726,-98.006,3.2
2013-10-08T13:10:24.190Z,36.714,-98.012,2.7
2013-12-06T00:37:13.850Z,36.8747,-97.9889,3.1
2013-12-13T01:35:13.900Z,36.74,-98.286,2.8
2013-12-14T19:45:14.400Z,36.7277,-98.2864,2.6
2013-12-16T15:09:53.900Z,37.1297,-97.7758,3.8
2013-12-29T02:41:02.400Z,36.958,-97.67,3.6
2013-12-31T01:36:22.170Z,36.7606,-98.5915,2.9
2014-01-04T20:35:30.100Z,36.8398,-98.3576,3.5
2014-01-06T05:56:14.170Z,40.1133,-96.5348,2.9
2014-01-11T07:38:18.820Z,36.736,-98.289,2.7
2014-01-19T09:03:47.160Z,36.786,-98.7,2.7
2014-02-03T08:43:30.810Z,37.133,-97.8334,2.9
2014-02-03T09:03:21.580Z,37.132,-97.7684,3.6
2014-02-04T14:08:17.140Z,37.1428,-97.7874,3.3
2014-02-05T23:15:40.000Z,36.8361,-97.7503,3.5
2014-02-06T12:48:08.630Z,36.7464,-98.2949,3.3
2014-02-10T05:18:17.920Z,36.9067,-97.8944,2.8
2014-02-11T03:19:54.040Z,36.8657,-97.7345,3
2014-02-11T16:41:42.280Z,36.993,-97.929,2.5
2014-02-12T12:41:37.000Z,36.9963,-97.9271,3.4
2014-02-12T22:51:33.000Z,36.8372,-97.7237,2.5
2014-02-15T23:20:46.200Z,37.2918,-97.6446,3.1
2014-02-18T14:22:01.540Z,36.718,-97.71,2.7
2014-02-21T14:26:12.000Z,36.8695,-97.8886,3.2
2014-02-21T15:19:11.000Z,36.7898,-98.7003,2.8
2014-02-23T20:11:05.230Z,36.717,-97.702,2.6
2014-02-26T19:30:33.000Z,36.675,-97.693,3.4
2014-03-02T16:51:22.800Z,36.767,-98.6908,2.9
2014-03-06T11:43:14.400Z,36.8853,-97.6872,2.6
2014-03-07T16:20:10.700Z,36.7506,-97.5746,2.9
2014-03-07T22:33:55.900Z,36.777,-98.332,2.5
2014-03-12T08:28:47.690Z,37.2108,-97.9049,2.8
2014-03-12T09:50:25.100Z,37.1966,-97.8858,3.3
2014-03-12T12:57:54.090Z,37.2051,-97.8908,2.6
2014-03-12T18:00:04.570Z,37.1945,-97.8674,2.9
2014-03-12T19:35:26.460Z,37.1783,-97.8728,3.2
2014-03-13T00:16:54.200Z,37.2231,-97.8679,2.7
2014-03-13T16:12:32.300Z,36.8809,-97.9838,2.5
2014-03-15T10:09:41.180Z,37.2194,-97.8773,2.7
2014-03-16T08:46:20.180Z,37.1918,-97.8992,3.7
2014-03-18T14:59:10.200Z,36.7043,-98.0422,2.7
2014-03-21T01:01:50.560Z,36.826,-97.61,2.5
2014-03-21T06:43:13.000Z,36.6844,-98.288,2.8
2014-03-21T17:30:16.730Z,37.0895,-97.8455,3
2014-03-22T10:21:57.470Z,37.0813,-97.8456,2.8
2014-03-22T10:24:25.680Z,37.0752,-97.8436,3
2014-03-22T19:30:11.700Z,36.6995,-97.7096,2.8
2014-03-22T19:42:12.210Z,36.8124,-97.5915,3.3
2014-03-23T06:18:36.890Z,37.2106,-97.8982,2.7
2014-03-23T19:46:52.500Z,36.8433,-97.8753,2.5
2014-03-24T15:39:59.800Z,36.8104,-97.6124,2.7
2014-03-25T07:51:21.670Z,36.9266,-97.662,2.6
2014-03-28T11:23:26.540Z,37.345,-98.0654,2.8
